w6,gcode,modelspec,nsum,sd,lvcnt,bomb,bomblag,klaB,klaBlag,klaK,klaKlag
20Mar99,"north","(aba osce)(osce hrw)",197.6667,135.6662,2918,0,,4,,4,
26Mar99,"north","(aba exh)(exh hrw)",858.4999,355.2142,7589,2,0,3,4,11,4
01Apr99,"north","(exh osce)(osce hrw)",1196.667,755.7612,6435,1,2,1,3,6,11
07Apr99,"north","(exh aba)(aba osce)",253,219.162,5476,2,1,0,1,3,6
13Apr99,"north","(exh aba)(aba hrw)",642,201.0236,18684,2,2,1,0,7,3
19Apr99,"north","(exh aba)(aba osce)",69,19.34253,4246,1,2,0,1,6,7
25Apr99,"north","(aba exh)(exh osce)",61.06667,14.31444,1311,8,1,0,0,3,6
01May99,"north","(aba hrw)(osce)",316.6832,164.6088,2443,4,8,2,0,7,3
07May99,"north","(hrw osce)(exh)",66.66696,57.34918,2364,13,4,0,2,4,7
13May99,"north","(exh)(hrw)(osce)",201.3358,81.97081,89,4,13,0,0,7,4
19May99,"north","(aba exh)(osce)",13,,1446,6,4,0,0,2,7
25May99,"north","(hrw osce)(exh)",20.99806,15.872,401,13,6,1,0,7,2
31May99,"north","",2,,0,8,13,1,1,5,7
06Jun99,"north","",5,,0,6,8,0,1,2,5
12Jun99,"north","",21.33333,,0,0,6,0,0,1,2
18Jun99,"north","",,,0,0,0,0,0,12,1
20Mar99,"east","(exh hrw)(aba)",208.8527,21.34723,2507,1,,2,,9,
26Mar99,"east","(exh osce)(osce hrw)",330.6667,118.5561,8711,8,1,1.5,2,3,9
01Apr99,"east","(hrw osce)(aba)",299.0967,36.05878,6506,2,8,2,1.5,0,3
07Apr99,"east","(aba hrw)(osce)",123.6342,10.23602,4889,6,2,0,2,1,0
13Apr99,"east","(hrw exh)(exh osce)",341,126.9961,9571,11,6,1,0,9,1
19Apr99,"east","(aba exh)(exh osce)",252.3333,215.0473,1324,5,11,0,1,1,9
25Apr99,"east","(aba hrw)(osce)",67.20113,12.30602,312,6,5,0,0,3,1
01May99,"east","(aba exh)(exh osce)",95.59999,30.50648,258,6,6,0,0,1,3
07May99,"east","(exh aba)(aba osce)",37.33405,,767,18,6,0,0,0,1
13May99,"east","(aba exh)(osce)",19.99996,9.486791,15,10,18,0,0,1,0
19May99,"east","(aba hrw)(exh)",41.08083,5.493534,137,18,10,1,0,0,1
25May99,"east","(aba)(exh)(osce)",6.333333,.0001792,152,25,18,0,1,11,0
31May99,"east","",2,,0,18,25,0,0,12,11
06Jun99,"east","",1,,0,10,18,0,0,5,12
12Jun99,"east","",1,,0,0,10,0,0,41,5
18Jun99,"east","",,,0,0,0,0,0,25,41
20Mar99,"south","(aba hrw)(exh)",116.4394,14.01397,9517,0,,1,,4,
26Mar99,"south","(aba hrw)(hrw exh)",616.1111,119.7543,49896,3,0,4,1,3,4
01Apr99,"south","(aba osce)(osce exh)",538.9999,272.4702,48998,1,3,1,4,2,3
07Apr99,"south","(aba osce)(exh)",12.66667,,3516,4,1,1,1,6,2
13Apr99,"south","(aba exh)(exh hrw)",36.33333,8.210201,4157,0,4,0,1,4,6
19Apr99,"south","(aba)(exh)(osce)",8.531129,5.645923,2303,0,0,1,0,1,4
25Apr99,"south","",2,,6943,3,0,0,1,1,1
01May99,"south","(aba hrw)(osce)",8,2.581989,4614,2,3,0,0,1,1
07May99,"south","(exh hrw)(hrw osce)",16.00011,,2098,2,2,0,0,3,1
13May99,"south","",3,,116,7,2,0,0,8,3
19May99,"south","",,,1627,6,7,0,0,3,8
25May99,"south","(aba)(hrw)(osce)",242.9418,226.8025,517,9,6,20,0,41,3
31May99,"south","",,,0,7,9,1,20,1,41
06Jun99,"south","",5,,0,7,7,0,1,3,1
12Jun99,"south","",,,0,0,7,0,0,5,3
18Jun99,"south","",2,,0,0,0,0,0,6,5
20Mar99,"west","(aba exh)(exh hrw)",524.7777,163.787,8227,0,,5,,8,
26Mar99,"west","(exh osce)(osce hrw)",1696.639,407.0725,41682,2,0,5,5,26,8
01Apr99,"west","(aba osce)(osce hrw)",391.6666,135.5745,49305,3,2,7,5,7,26
07Apr99,"west","(hrw exh)(exh osce)",83,31.81195,4086,4,3,4,7,6,7
13Apr99,"west","(exh osce)(osce hrw)",124.6653,,6150,3,4,2.5,4,5,6
19Apr99,"west","(aba exh)(exh osce)",42.99999,28.98275,3750,1,3,2,2.5,2,5
25Apr99,"west","(hrw osce)(exh)",45,7.866066,4049,2,1,0,2,0,2
01May99,"west","(exh)(hrw)(osce)",121.9909,16.47114,3966,7,2,1,0,11,0
07May99,"west","(aba hrw)(hrw osce)",37.33333,14.63253,8100,8,7,3,1,10,11
13May99,"west","(hrw exh)(exh osce)",41.66666,23.2379,20,13,8,1,3,2,10
19May99,"west","",10,,420,10,13,0,1,3,2
25May99,"west","(aba)(exh)(hrw)",5,.0003855,61,19,10,0,0,5,3
31May99,"west","(exh osce)(aba)",57.78452,46.93343,0,14,19,2,0,17,5
06Jun99,"west","",2,,0,13,14,0,2,2,17
12Jun99,"west","(aba hrw)(exh)",3,,0,0,13,0,0,13,2
18Jun99,"west","",,,0,0,0,1,0,25,13
